product_id,name,description,price,category,stock_count,is_available,created_at
P001,高性能ワイヤレスマウス,ゲーミングにも使える応答速度が速い高性能なワイヤレスマウスです。,5980.50,PC周辺機器,150,TRUE,2025/10/01 10:00:00
P002,4K対応27インチモニター,動画編集やデザイン作業に最適な高精細ディスプレイ。,45000.00,PC周辺機器,55,TRUE,2025/10/05 15:30:00
P003,ノイズキャンセリングヘッドホン,通勤・通学に最適。静寂の中で音楽を楽しめます。,28999.00,オーディオ,0,FALSE,2025/09/20 08:45:00
P004,軽量折りたたみ傘,超軽量で持ち運びに便利な折りたたみ傘。急な雨にも対応。,3200.00,生活雑貨,210,TRUE,2025/11/01 12:00:00
P005,木製ダイニングテーブルセット,家族団欒にぴったりの天然木使用の温かみのあるテーブルセット。,85000.00,家具,12,TRUE,2025/08/15 20:10:00
P006,スポーツジム用Tシャツ,吸汗速乾性に優れた素材で、激しい運動にも快適です。,1980.00,アパレル,300,TRUE,2025/10/10 09:15:00
P007,充電式ハンディクリーナー,コードレスでどこでも使える小型掃除機。車内清掃にも便利。,7500.00,生活家電,80,TRUE,2025/10/25 18:00:00
P008,防水スマートウォッチ,健康管理機能付きの多機能スマートウォッチ。ランニングにも。,15990.00,ガジェット,45,TRUE,2025/11/03 11:30:00
P009,イタリアンレザー長財布,職人が手掛けた上質な本革の財布。プレゼントにも最適。,18000.00,ファッション小物,25,TRUE,2025/09/01 14:00:00
P010,高精度デジタルスケール,料理やお菓子作りに便利な0.1g単位で計測可能なスケール。,4100.00,キッチン用品,90,TRUE,2025/10/18 17:20:00
P011,エコフレンドリーな竹製歯ブラシ10本セット,プラスチックフリーで環境に優しい竹製の歯ブラシ。,1200.00,生活雑貨,450,TRUE,2025/07/01 07:00:00
P012,ポータブルBluetoothスピーカー,手のひらサイズながら迫力のあるサウンド。アウトドアにも。,6800.00,オーディオ,70,TRUE,2025/11/04 22:10:00
